"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
5190;11272;952;0;0.22;0;0.6;0;-0.07;652;3684;0;0;8.2;0.01;71263;2528500;1195499;528;195;46.91;6.5;528500;195500;"528500_195500"
5188;0;611;0.82;0.13;0;0.01;0.01;0.07;132;1494;0;163;1.2;0;136271;2529500;1180499;529;180;46.77;6.52;529500;180500;"529500_180500"
5198;21526;433;0.16;0.39;0;0.28;0;0.07;3607;5082;0;113;7.2;0.05;0;2530500;1160499;530;160;46.59;6.53;530500;160500;"530500_160500"
5199;545;444;0.97;0.01;0;0.01;0;0.05;1251;0;0;0;0.8;0.01;0;2531500;1169499;531;169;46.67;6.54;531500;169500;"531500_169500"
5201;353;441;0.87;0.05;0;0.01;0;0.27;2352;322;0;939;0.4;0.02;20419;2531500;1170499;531;170;46.68;6.54;531500;170500;"531500_170500"
5442;89;486;0.85;0.08;0;0.04;0;-0.35;310;3908;0;0;4.5;0;0;2531500;1178499;531;178;46.75;6.54;531500;178500;"531500_178500"
5477;85;627;0.52;0.39;0;0.05;0;-0.2;1135;2677;0.02;0;11.1;0;0;2531500;1183499;531;183;46.8;6.54;531500;183500;"531500_183500"
5204;459;1447;0;0.39;0;0.55;0;-0.71;0;1633;0;0;11.5;0.05;0;2531500;1188499;531;188;46.84;6.54;531500;188500;"531500_188500"
5207;1551;1436;0;0.46;0;0.41;0;0.5;0;1220;0;0;12.3;0.13;0;2532500;1190499;532;190;46.86;6.55;532500;190500;"532500_190500"
5195;1835;581;0.41;0.53;0;0.04;0;-0.5;1128;1981;0;0;5.2;0;0;2533500;1159499;533;159;46.58;6.57;533500;159500;"533500_159500"
5209;2845;1083;0;0.23;0;0.61;0.09;0.61;41;2097;0;1237;7.4;0.05;10545;2533500;1201499;533;201;46.96;6.56;533500;201500;"533500_201500"
5441;9492;599;0.44;0.36;0;0.05;0;-0.03;918;4380;0;0;2.1;0;59677;2534500;1162499;534;162;46.61;6.58;534500;162500;"534500_162500"
5202;22484;442;0.75;0;0;0.09;0;-0.38;1066;6828;0;0;2.2;0;0;2534500;1179499;534;179;46.76;6.58;534500;179500;"534500_179500"
5196;78750;574;0.24;0.24;0;0.04;0;-0.29;2304;8664;0;0;4.7;0.04;0;2535500;1157499;535;157;46.57;6.6;535500;157500;"535500_157500"
5205;12714;555;0.32;0.44;0;0.2;0;-0.14;1603;3864;0;0;9.6;0;1342;2535500;1186499;535;186;46.83;6.59;535500;186500;"535500_186500"
5440;83329;377;0;0;0;0;0.48;-0.4;0;7793;0;1608;1.6;0.12;0;2536500;1151499;536;151;46.51;6.61;536500;151500;"536500_151500"
5208;2853;1166;0.01;0.17;0;0.78;0;0;0;136;0;0;12;0.03;0;2536500;1199499;536;199;46.94;6.6;536500;199500;"536500_199500"
5206;14409;1054;0;0.49;0;0.3;0;-0.91;0;6889;0;0;20.3;0.06;0;2537500;1189499;537;189;46.85;6.62;537500;189500;"537500_189500"
7582;422784;508;0;0;0;0;0;-0.57;1587;21245;0;0;7.8;0.1;0;2538500;1152499;538;152;46.52;6.64;538500;152500;"538500_152500"
5197;180486;578;0;0.16;0;0.03;0;-0.42;1916;14470;0;0;11.9;0.06;0;2538500;1153499;538;153;46.53;6.64;538500;153500;"538500_153500"
5200;124827;622;0.27;0;0;0.16;0;0.56;670;12469;0;0;1.8;0;0;2538500;1165499;538;165;46.64;6.64;538500;165500;"538500_165500"
5203;35232;566;0.25;0.34;0;0.29;0;0.16;3782;3730;0;0;10.1;0;0;2538500;1174499;538;174;46.72;6.63;538500;174500;"538500_174500"
5212;3440;1052;0;0.01;0;0.82;0;-0.28;0;1157;0;0;2.7;0;8782;2538500;1204499;538;204;46.99;6.63;538500;204500;"538500_204500"
5224;189;656;0.71;0.19;0;0.06;0;0.6;392;2333;0;0;5.5;0.03;0;2540500;1175499;540;175;46.73;6.66;540500;175500;"540500_175500"
5443;32157;488;0.38;0.09;0;0.15;0;-0.73;1621;10978;0;133;6.9;0.02;0;2540500;1187499;540;187;46.84;6.66;540500;187500;"540500_187500"
5216;1868;839;0.09;0.76;0;0.09;0;-0.02;2349;2897;0;0;5.4;0;0;2541500;1158499;541;158;46.58;6.68;541500;158500;"541500_158500"
5231;902;1319;0;0.29;0;0.62;0;-0.07;0;1537;0;0;8;0.09;0;2541500;1194499;541;194;46.9;6.67;541500;194500;"541500_194500"
