"site";"date";"survey";"time"
6238;2013-06-08;2136;180
5257;2013-04-14;2137;135
5257;2013-05-25;2138;135
5257;2013-06-15;2139;120
5199;2013-05-12;2147;210
5199;2013-06-15;2148;190
6342;2013-04-22;2150;195
6342;2013-05-06;2151;180
6342;2013-06-07;2152;230
5407;2013-04-13;2160;270
5407;2013-05-18;2161;270
5407;2013-06-08;2162;300
6281;2013-04-14;2163;310
6281;2013-05-18;2164;320
6281;2013-06-07;2165;285
6993;2013-05-08;2167;180
6993;2013-06-05;2168;200
6993;2013-06-16;2169;220
5919;2013-06-15;2174;240
5348;2013-04-17;2187;230
5348;2013-05-14;2188;230
5348;2013-06-13;2190;205
5951;2013-05-09;2195;195
5951;2013-06-16;2196;200
5342;2013-06-05;2198;300
5342;2013-06-17;2199;300
5753;2013-04-18;2200;230
5753;2013-05-18;2201;230
5753;2013-06-02;2202;255
5756;2013-05-02;2203;225
5756;2013-05-20;2204;260
5756;2013-06-03;2205;255
5841;2013-04-25;2209;200
5841;2013-05-11;2210;175
5841;2013-05-27;2211;190
7186;2013-06-15;2216;227
7135;2013-06-17;2217;269
5164;2013-05-05;2220;175
5164;2013-05-18;2223;155
5164;2013-06-16;2224;143
6880;2013-04-14;2234;210
6880;2013-05-09;2235;220
6880;2013-06-06;2236;210
5464;2013-05-08;2237;145
5464;2013-06-05;2238;140
5177;2013-04-18;2239;250
5177;2013-05-07;2240;210
5177;2013-06-02;2241;215
5178;2013-04-23;2242;240
5178;2013-05-13;2243;160
5178;2013-05-30;2244;180
5344;2013-04-16;2245;275
5344;2013-05-27;2246;250
5344;2013-06-05;2247;260
5454;2013-05-13;2251;255
5454;2013-06-04;2252;180
5454;2013-06-17;2253;195
6892;2013-06-13;2276;140
6852;2013-06-18;2277;225
6967;2013-06-17;2278;120
6854;2013-06-11;2279;150
5252;2013-04-13;2281;240
5252;2013-05-05;2284;255
5252;2013-06-15;2285;265
5805;2013-04-15;2289;260
5805;2013-05-01;2292;270
5805;2013-05-20;2293;280
6923;2013-05-05;2298;240
6923;2013-05-25;2299;240
6212;2013-05-03;2300;165
6212;2013-06-08;2301;270
6212;2013-06-16;2302;270
5887;2013-05-05;2306;220
5887;2013-05-18;2307;210
5887;2013-06-02;2308;220
6853;2013-06-12;2318;120
6997;2013-06-20;2320;125
7101;2013-05-12;2328;305
7101;2013-05-20;2329;295
7101;2013-06-16;2330;315
5918;2013-04-14;2334;180
5918;2013-05-08;2335;185
5918;2013-05-27;2336;225
5926;2013-05-09;2337;305
5926;2013-06-05;2338;310
5926;2013-06-16;2339;310
5798;2013-05-08;2340;215
5798;2013-05-20;2341;220
5798;2013-06-05;2343;230
7109;2013-04-28;2347;210
7109;2013-05-18;2348;215
7080;2013-04-27;2350;210
7080;2013-05-04;2351;210
7080;2013-05-25;2352;180
7109;2013-06-08;2355;221
6828;2013-05-14;2362;210
6828;2013-06-23;2363;180
7229;2013-06-16;2365;316
6682;2013-06-16;2370;270
7233;2013-06-11;2380;300
7250;2013-06-10;2381;345
6725;2013-04-15;2387;285
6725;2013-04-29;2388;275
6725;2013-06-12;2391;265
6723;2013-05-08;2395;250
6723;2013-06-07;2396;255
6723;2013-06-27;2397;205
5298;2013-05-07;2398;160
5298;2013-06-02;2399;135
5298;2013-06-17;2402;125
7171;2013-04-17;2413;265
7171;2013-05-15;2415;270
7171;2013-06-12;2416;300
7088;2013-04-29;2418;225
7088;2013-05-18;2419;200
7088;2013-06-08;2424;210
7144;2013-05-02;2425;250
7144;2013-06-06;2426;235
7144;2013-06-20;2427;240
7168;2013-05-18;2430;210
7168;2013-05-28;2431;230
7168;2013-06-15;2432;226
6704;2013-04-19;2433;240
6704;2013-05-02;2434;210
6704;2013-06-06;2436;210
5209;2013-04-25;2440;211
5209;2013-05-14;2441;220
5209;2013-06-03;2442;230
6763;2013-04-15;2443;270
6763;2013-05-03;2444;240
6763;2013-06-16;2445;270
5212;2013-04-24;2449;165
5212;2013-05-14;2450;180
5212;2013-06-07;2451;250
5120;2013-04-26;2475;210
5120;2013-05-27;2476;205
5120;2013-06-19;2477;190
5222;2013-04-24;2478;176
5222;2013-05-15;2479;170
5222;2013-06-05;2480;172
5873;2013-05-14;2481;270
5873;2013-05-27;2482;245
5873;2013-06-13;2483;280
5788;2013-04-14;2499;255
5788;2013-05-11;2502;210
5788;2013-06-05;2503;255
6859;2013-06-14;2504;230
6859;2013-06-29;2505;190
6846;2013-06-26;2506;175
6847;2013-06-27;2509;170
6964;2013-06-30;2510;210
6166;2013-06-13;2511;270
6166;2013-07-01;2512;220
7206;2013-05-12;2516;210
7206;2013-06-08;2517;210
7206;2013-06-22;2519;235
7229;2013-06-28;2520;266
5271;2013-04-30;2521;240
5271;2013-05-14;2524;230
5271;2013-06-08;2525;210
6678;2013-05-09;2527;140
6678;2013-05-20;2528;135
6827;2013-06-12;2536;210
6827;2013-06-16;2537;210
6827;2013-06-28;2538;210
5243;2013-04-15;2539;285
5243;2013-05-28;2541;270
5243;2013-06-08;2542;240
5702;2013-06-23;2543;165
5700;2013-06-22;2545;200
5700;2013-07-01;2546;195
5702;2013-06-30;2551;125
6139;2013-04-24;2552;215
6139;2013-05-05;2553;200
7205;2013-06-09;2556;240
7205;2013-06-30;2557;215
6139;2013-06-05;2559;210
6702;2013-04-14;2561;270
6702;2013-05-12;2562;255
6702;2013-06-15;2563;245
5397;2013-05-07;2581;315
5397;2013-06-05;2582;292
5397;2013-06-26;2583;245
5452;2013-05-08;2584;265
5452;2013-05-27;2585;325
5452;2013-06-12;2586;260
6209;2013-05-09;2596;200
6209;2013-06-03;2597;185
6209;2013-06-15;2598;195
6216;2013-04-24;2605;190
6216;2013-05-15;2606;215
6216;2013-06-06;2607;170
6215;2013-04-26;2608;180
6215;2013-05-27;2609;215
6215;2013-06-12;2610;190
6486;2013-07-01;2611;190
6436;2013-05-08;2612;180
6436;2013-06-04;2613;190
6436;2013-06-18;2614;180
6268;2013-04-21;2615;210
6268;2013-05-25;2618;160
6268;2013-06-05;2619;130
5637;2013-05-04;2620;180
6334;2013-05-13;2622;255
5646;2013-05-08;2624;210
5646;2013-06-05;2625;150
5646;2013-07-04;2626;240
6310;2013-05-02;2633;240
6468;2013-05-03;2636;240
6468;2013-05-20;2637;255
6310;2013-05-18;2640;225
6310;2013-05-30;2641;225
6468;2013-06-04;2642;240
6772;2013-06-28;2646;195
6773;2013-06-27;2647;240
6308;2013-05-09;2648;210
6308;2013-06-05;2649;210
6308;2013-06-16;2650;225
5329;2013-04-18;2657;175
5329;2013-05-11;2658;190
5329;2013-06-12;2659;180
5331;2013-04-15;2665;175
5331;2013-05-09;2666;180
5331;2013-06-11;2669;180
6236;2013-06-26;2680;240
5168;2013-06-04;2682;210
5638;2013-05-30;2695;270
5638;2013-06-11;2696;235
5638;2013-06-25;2697;270
6719;2013-05-20;2711;285
6719;2013-06-09;2712;285
6719;2013-07-02;2714;260
5838;2013-05-15;2719;247
5838;2013-06-03;2720;225
5838;2013-06-26;2723;240
5339;2013-06-03;2724;235
5339;2013-06-12;2727;225
5339;2013-06-24;2728;240
5402;2013-04-18;2729;187
5402;2013-05-20;2734;210
5402;2013-06-14;2735;210
6721;2013-05-05;2739;280
6721;2013-06-05;2740;275
6721;2013-06-30;2742;220
7133;2013-06-07;2752;260
7133;2013-06-17;2753;245
7133;2013-06-25;2754;235
7261;2013-05-13;2755;235
7261;2013-06-14;2760;240
7261;2013-06-30;2761;235
6970;2013-04-27;2766;160
6970;2013-05-09;2767;150
6970;2013-06-09;2768;170
5892;2013-04-28;2775;270
5892;2013-05-20;2776;270
5892;2013-06-15;2777;300
5668;2013-04-24;2778;200
5668;2013-05-15;2779;195
5668;2013-06-04;2780;195
5810;2013-06-23;2784;275
5810;2013-07-06;2785;275
5426;2013-04-18;2786;180
5426;2013-05-11;2787;195
5426;2013-06-05;2788;180
5182;2013-04-17;2789;195
5182;2013-05-05;2792;155
5182;2013-05-18;2793;157
5386;2013-05-22;2794;235
5386;2013-06-07;2795;245
5386;2013-06-15;2796;215
5444;2013-06-13;2797;190
5444;2013-06-17;2798;145
7163;2013-05-12;2802;210
7163;2013-05-31;2803;200
7163;2013-06-25;2804;210
5207;2013-05-27;2808;240
5207;2013-06-13;2809;285
5207;2013-07-01;2810;240
6318;2013-05-04;2811;260
6318;2013-06-02;2812;315
6318;2013-06-15;2813;280
5906;2013-06-19;2814;285
5906;2013-07-05;2815;300
5217;2013-05-27;2836;120
5217;2013-06-17;2837;120
5762;2013-05-20;2848;240
5762;2013-06-15;2849;240
5762;2013-06-30;2850;255
6998;2013-05-11;2874;245
6998;2013-06-01;2875;255
6998;2013-06-15;2876;240
6307;2013-06-23;2879;255
5758;2013-04-22;2881;240
5758;2013-05-15;2882;240
5758;2013-06-15;2884;300
6307;2013-07-01;2885;235
5914;2013-06-23;2888;180
5914;2013-07-07;2889;195
5724;2013-04-24;2890;110
5724;2013-05-24;2893;90
5724;2013-06-09;2894;95
6937;2013-06-04;2900;270
6937;2013-06-13;2901;300
6937;2013-06-27;2902;300
6933;2013-04-18;2906;285
6933;2013-05-08;2911;285
6933;2013-06-03;2923;280
5251;2013-04-28;2930;120
5251;2013-05-25;2933;150
5251;2013-06-16;2934;140
5483;2013-05-20;2935;225
5483;2013-06-08;2936;205
5483;2013-06-30;2937;200
5634;2013-06-11;2938;215
5634;2013-06-12;2939;220
5634;2013-06-18;2945;200
6706;2013-05-05;2958;200
6706;2013-06-08;2959;205
6706;2013-06-30;2960;150
5363;2013-04-26;2961;90
5363;2013-05-07;2962;110
5363;2013-06-12;2964;130
5642;2013-04-13;2968;237
5642;2013-05-11;2969;210
5642;2013-06-03;2970;190
5282;2013-04-17;2973;245
5282;2013-05-14;2974;255
5282;2013-06-04;2975;255
6782;2013-06-18;2979;270
6782;2013-07-02;2980;245
6486;2013-07-10;2981;170
6476;2013-06-05;2982;255
6476;2013-06-18;2983;270
6476;2013-07-06;2984;255
6239;2013-04-28;2985;240
6239;2013-05-09;2988;255
6239;2013-06-02;2989;230
6124;2013-06-17;3002;215
6124;2013-07-01;3003;220
7166;2013-06-06;3005;255
7166;2013-06-17;3006;270
5732;2013-04-30;3009;191
5732;2013-05-23;3010;205
5732;2013-06-08;3011;160
5733;2013-04-26;3012;150
5733;2013-05-20;3013;150
5733;2013-06-06;3014;167
5919;2013-07-07;3015;255
5769;2013-05-18;3016;270
5769;2013-06-08;3018;240
5410;2013-04-26;3025;175
5410;2013-05-08;3026;160
5410;2013-05-28;3027;170
