"x"	"y"	"buildings"	"elevation"	"farmland"	"forest"	"glacier"	"grassland"	"lakes"	"northness"	"rivers"	"roads"	"rocks"	"shoreline"	"slope"	"structures"	"wetlands"
592500	184500	44385	816	0.5	0.02	0	0.28	0	0.55	457	6383	0	0	4.8	0.01	0
593500	184500	20088	828	0.5	0.08	0	0.33	0	0.13	1262	4267	0	98	7.7	0.02	0
594500	184500	18410	830	0.49	0.05	0	0.41	0	0.33	0	3230	0	0	6.1	0	0
595500	184500	21374	797	0.5	0.02	0	0.37	0	0.19	1681	4728	0	0	3.6	0.02	0
596500	184500	7083	768	0.24	0.29	0	0.38	0	0.07	3251	1384	0	0	11.3	0.01	0
597500	184500	12609	771	0.07	0.33	0	0.48	0	-0.04	3801	3971	0	0	15.7	0.03	0
598500	184500	16667	796	0.11	0.1	0	0.65	0	-0.31	3250	5312	0	0	15.4	0.05	0
599500	184500	18944	801	0.14	0	0	0.68	0	0.08	3831	5234	0	0	11	0.06	0
600500	184500	9392	811	0.39	0.05	0	0.48	0	0.53	2779	3073	0	0	8.1	0.01	0
601500	184500	16314	804	0.51	0	0	0.4	0	0.45	1536	3483	0	0	6.8	0.01	0
602500	184500	69946	806	0.2	0.02	0	0.45	0	-0.09	1971	7895	0	0	8	0.04	0
603500	184500	69968	773	0.29	0	0	0.3	0	-0.3	1644	9779	0	486	7	0.01	0
604500	184500	14889	705	0.28	0.2	0	0.38	0	0.26	1141	5210	0	0	12.8	0.05	0
605500	184500	81777	573	0.26	0.01	0	0.31	0	0.2	2274	8894	0	0	5.7	0.03	0
606500	184500	1132	547	0.89	0	0	0.09	0	0.44	810	1351	0	0	0.5	0	0
607500	184500	8254	607	0.47	0.23	0	0.25	0	0.2	585	4108	0	0	7.6	0	0
608500	184500	14455	587	0.59	0.02	0	0.31	0	-0.1	1384	3362	0	0	5.7	0.02	0
609500	184500	4482	580	0.24	0.55	0	0.11	0	-0.12	622	3609	0	0	5.2	0	0
610500	184500	3418	540	0.35	0.26	0	0.07	0	0.21	1538	8092	0	725	1	0.12	0
611500	184500	11181	556	0.45	0.35	0	0.06	0	0.19	1081	7231	0	0	1.9	0.02	0
612500	184500	745	577	0.26	0.65	0	0.02	0	0.19	1132	1663	0	0	2.9	0.01	0
613500	184500	21531	625	0.3	0.37	0	0.26	0	0.23	1559	4289	0	0	11.1	0.01	0
614500	184500	14369	749	0.06	0.47	0	0.41	0	-0.47	2943	3937	0	0	17.6	0.02	0
615500	184500	11552	789	0.13	0.4	0	0.4	0	-0.58	2575	3069	0.01	0	22	0.01	0
616500	184500	6751	838	0.14	0.26	0	0.51	0	-0.59	3055	3131	0.03	0	20	0.02	0
