"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"id";"ID";"ent1.1";"ent1.2";"ent2";"x";"y";"optional"
"27";5431;16161;450;0.46;0.02;0;0.14;0;-0.23;0;4620;0;0;3.2;0.02;20999;2506500;1120499;506;120;46.23;6.23;"506500_120500";27;1.70498816811361;55.6254056473992;41.5064248511616;506500;120500;TRUE
"28";5140;2812;438;0.79;0.01;0;0.05;0;0.22;1464;2855;0;0;1.6;0.03;0;2507500;1123499;507;123;46.26;6.24;"507500_123500";28;1.3139699962367;51.4155243961835;35.1477414292653;507500;123500;TRUE
"29";5148;3341;658;0.46;0.41;0;0.08;0;-0.52;1142;2552;0;80;10.4;0.01;0;2507500;1145499;507;145;46.45;6.23;"507500_145500";29;2.17118455741029;33.8394501891179;114.605988205003;507500;145500;TRUE
"30";5138;17254;457;0.63;0;0;0.05;0;0.01;396;4376;0;0;3;0.03;0;2508500;1118499;508;118;46.21;6.25;"508500_118500";30;2.3347367598735;46.2791559011398;156.227178938411;508500;118500;TRUE
"31";5153;1153;1117;0;0.64;0;0.32;0;-0.29;0;1884;0;0;5;0.03;0;2508500;1165499;508;165;46.63;6.24;"508500_165500";31;1.85856923271064;32.57575383236;286.414914603995;508500;165500;TRUE
"32";5149;10600;572;0.21;0.16;0;0.09;0;-0.89;3419;5731;0;0;11;0;0;2509500;1144499;509;144;46.45;6.26;"509500_144500";32;2.49586767425715;47.2263370936244;134.470143189702;509500;144500;TRUE
"33";5434;1594;486;0.64;0.31;0;0.02;0.01;0.27;1910;4049;0;423;1.2;0;0;2510500;1120499;510;120;46.23;6.28;"510500_120500";33;2.71388925905706;44.5640899494917;286.564028546719;510500;120500;TRUE
"34";5474;44615;530;0.06;0.32;0;0.02;0;-0.74;1664;12335;0;64;13.1;0;0;2511500;1145499;511;145;46.45;6.29;"511500_145500";34;2.79902479360163;48.8309013684095;356.00398314891;511500;145500;TRUE
"35";5163;146;1519;0;0.68;0;0.26;0;-0.51;0;1422;0;0;9.2;0.04;0;2511500;1158499;511;158;46.57;6.28;"511500_158500";35;1.26033837974451;22.4946778418681;20.3274342730008;511500;158500;TRUE
"36";5160;2951;781;0.52;0.33;0;0.1;0;0.43;1163;2202;0;0;4.2;0.01;0;2512500;1149499;512;149;46.49;6.3;"512500_149500";36;2.24287620290496;35.4782357547092;54.5888561644529;512500;149500;TRUE
"37";5475;11619;384;0.3;0;0;0.07;0.37;-0.32;155;3794;0;1415;2.6;0.01;0;2513500;1143499;513;143;46.44;6.31;"513500_143500";37;3.15574846253544;64.1251808636557;1078.61429679482;513500;143500;TRUE
"38";5166;168;1582;0;0.27;0;0.52;0;-0.49;0;0;0.01;0;12;0.2;0;2513500;1160499;513;160;46.59;6.31;"513500_160500";38;1.11443244405609;31.6908513388668;64.2202313216931;513500;160500;TRUE
"39";5161;26093;575;0.04;0.13;0;0.09;0;-0.82;1672;11213;0;0;13.8;0.06;0;2514500;1147499;514;147;46.47;6.33;"514500_147500";39;2.58404006518575;51.1539655706914;166.864808875474;514500;147500;TRUE
"40";5167;18206;1068;0;0.19;0;0.58;0.09;0.03;0;4345;0;571;10.5;0.05;7185;2515500;1168499;515;168;46.66;6.33;"515500_168500";40;1.75193099236778;26.45219961345;229.31365273709;515500;168500;TRUE
"41";5172;667;1106;0;0.88;0;0.08;0;0.15;856;1453;0;0;21.1;0.02;0;2515500;1171499;515;171;46.69;6.33;"515500_171500";41;0.581259392947981;24.9117405176523;8.49394786143769;515500;171500;TRUE
"42";5435;289;704;0.57;0.28;0;0.02;0;-0.41;0;3710;0;0;3.1;0.03;0;2517500;1154499;517;154;46.54;6.36;"517500_154500";42;2.29915613986568;31.5362259651944;221.552724825424;517500;154500;TRUE
