Lat_dd,Lon_dd
45.78061294555664,5.774805545806885
45.77619552612305,5.778722286224365
45.701416015625,5.699749946594238
45.695220947265625,5.703805446624756
45.718692779541016,5.764833450317383
45.71797180175781,5.763583183288574
45.779945373535156,5.783166885375977
45.77555465698242,5.783138751983643
45.76508331298828,5.782694339752197
45.758445739746094,5.784111022949219
45.801029205322266,5.783360958099365
45.79341506958008,5.777805328369141
45.790164947509766,5.781750202178955
45.785972595214844,5.776722431182861
45.64177703857422,5.601083278656006
45.63188934326172,5.605249881744385
45.649776458740234,5.592278003692627
45.629859924316406,5.645694255828857
45.62799835205078,5.643388748168945
45.64561080932617,5.590805530548096
45.65252685546875,5.588722229003906
45.6522216796875,5.59938907623291
45.655887603759766,5.58941650390625
45.66577911376953,5.592916488647461
45.66980743408203,5.589000225067139
45.65472412109375,5.573916435241699
45.68547058105469,5.555110931396484
45.68641662597656,5.5542778968811035
45.68550109863281,5.55780553817749
45.68797302246094,5.5549445152282715
45.63605499267578,5.613333225250244
45.635860443115234,5.6156110763549805
45.63711166381836,5.61602783203125
45.66072082519531,5.573944568634033
45.65252685546875,5.588722229003906
45.65130615234375,5.592722415924072
45.62263870239258,5.642971992492676
45.61902618408203,5.637833118438721
45.63372039794922,5.616805553436279
45.63338851928711,5.6159443855285645
