number;channel;site;q;year;season
861;LUIS;AV;4;11;E
862;LUIS;AV;1;12;P
863;LUIS;AV;2;12;P
864;LUIS;AV;4;12;P
865;LUIS;AV;1;12;E
866;LUIS;AV;2;12;E
867;LUIS;AV;3;12;E
868;LUIS;AV;1;13;P
869;LUIS;AV;2;13;P
870;LUIS;AV;4;13;P
871;LUIS;AV;2;13;E
872;LUIS;AV;3;13;E
873;LUIS;AV;4;13;E
874;LUIS;AV;2;15;P
875;LUIS;AV;3;15;P
876;LUIS;AV;4;15;P
877;LUIS;AV;1;15;E
878;LUIS;AV;2;15;E
879;LUIS;AV;3;15;E
880;LUIS;AV;1;16;P
881;LUIS;AV;2;16;P
882;LUIS;AV;3;16;P
883;LUIS;AV;2;16;E
884;LUIS;AV;3;16;E
885;LUIS;AV;4;16;E
886;MATH;AM;1;03;E
887;MATH;AM;2;03;E
888;MATH;AM;3;03;E
889;MATH;AM;4;03;E
890;MATH;AM;1;04;P
891;MATH;AM;2;04;P
892;MATH;AM;3;04;P
893;MATH;AM;4;04;P
894;MATH;AM;1;08;P
895;MATH;AM;2;08;P
896;MATH;AM;3;08;P
897;MATH;AM;1;08;E
898;MATH;AM;2;08;E
899;MATH;AM;3;08;E
900;MATH;AM;1;10;P
901;MATH;AM;2;10;P
902;MATH;AM;4;10;P
903;MATH;AM;1;10;E
904;MATH;AM;2;10;E
905;MATH;AM;3;10;E
906;MATH;AM;1;12;P
907;MATH;AM;2;12;P
908;MATH;AM;3;12;P
909;MATH;AM;2;12;E
910;MATH;AM;3;12;E
911;MATH;AM;4;12;E
912;MATH;AM;1;16;P
913;MATH;AM;2;16;P
914;MATH;AM;3;16;P
915;MATH;AM;1;16;E
916;MATH;AM;3;16;E
917;MATH;AM;4;16;E
918;MATH;AV;1;03;E
919;MATH;AV;2;03;E
920;MATH;AV;3;03;E
921;MATH;AV;4;03;E
922;MATH;AV;1;04;P
923;MATH;AV;2;04;P
924;MATH;AV;3;04;P
925;MATH;AV;4;04;P
926;MATH;AV;1;08;P
927;MATH;AV;2;08;P
928;MATH;AV;3;08;P
929;MATH;AV;1;08;E
930;MATH;AV;2;08;E
931;MATH;AV;3;08;E
932;MATH;AV;1;10;P
933;MATH;AV;3;10;P
934;MATH;AV;4;10;P
935;MATH;AV;1;10;E
936;MATH;AV;2;10;E
937;MATH;AV;4;10;E
938;MATH;AV;1;12;P
939;MATH;AV;2;12;P
940;MATH;AV;4;12;P
941;MATH;AV;2;12;E
942;MATH;AV;3;12;E
943;MATH;AV;4;12;E
944;MATH;AV;2;16;P
945;MATH;AV;3;16;P
946;MATH;AV;4;16;P
947;MATH;AV;1;16;E
948;MATH;AV;2;16;E
949;MATH;AV;3;16;E
950;MOIR;AM;1;03;E
951;MOIR;AM;2;03;E
952;MOIR;AM;3;03;E
953;MOIR;AM;4;03;E
954;MOIR;AM;2;04;P
955;MOIR;AM;3;04;P
956;MOIR;AM;4;04;P
957;MOIR;AM;1;07;P
958;MOIR;AM;2;07;P
959;MOIR;AM;4;07;P
960;MOIR;AM;1;07;E
961;MOIR;AM;3;07;E
962;MOIR;AM;4;07;E
963;MOIR;AM;2;09;P
964;MOIR;AM;3;09;P
965;MOIR;AM;4;09;P
966;MOIR;AM;1;09;E
967;MOIR;AM;2;09;E
968;MOIR;AM;3;09;E
969;MOIR;AM;1;11;P
970;MOIR;AM;2;11;P
971;MOIR;AM;4;11;P
972;MOIR;AM;2;11;E
973;MOIR;AM;3;11;E
974;MOIR;AM;4;11;E
975;MOIR;AM;1;12;P
976;MOIR;AM;2;12;P
977;MOIR;AM;3;12;P
978;MOIR;AM;1;12;E
979;MOIR;AM;3;12;E
980;MOIR;AM;4;12;E
981;MOIR;AM;1;13;P
982;MOIR;AM;2;13;P
983;MOIR;AM;4;13;P
984;MOIR;AM;2;13;E
985;MOIR;AM;3;13;E
986;MOIR;AM;4;13;E
987;MOIR;AM;2;15;P
988;MOIR;AM;3;15;P
989;MOIR;AM;4;15;P
990;MOIR;AM;1;15;E
991;MOIR;AM;3;15;E
992;MOIR;AM;4;15;E
993;MOIR;AM;1;16;P
994;MOIR;AM;3;16;P
995;MOIR;AM;4;16;P
996;MOIR;AM;1;16;E
997;MOIR;AM;2;16;E
998;MOIR;AM;3;16;E
999;MOIR;AMN;1;07;P
1000;MOIR;AMN;2;07;P
1001;MOIR;AMN;3;07;P
1002;MOIR;AMN;1;07;E
1003;MOIR;AMN;2;07;E
1004;MOIR;AMN;4;07;E
1005;MOIR;AMN;1;09;P
1006;MOIR;AMN;2;09;P
1007;MOIR;AMN;4;09;P
1008;MOIR;AMN;2;09;E
1009;MOIR;AMN;3;09;E
1010;MOIR;AMN;4;09;E
1011;MOIR;AMN;2;11;P
1012;MOIR;AMN;3;11;P
1013;MOIR;AMN;4;11;P
1014;MOIR;AMN;1;11;E
1015;MOIR;AMN;2;11;E
1016;MOIR;AMN;4;11;E
1017;MOIR;AMN;1;12;P
1018;MOIR;AMN;2;12;P
1019;MOIR;AMN;4;12;P
1020;MOIR;AMN;1;12;E
1021;MOIR;AMN;2;12;E
1022;MOIR;AMN;3;12;E
1023;MOIR;AMN;2;13;P
1024;MOIR;AMN;3;13;P
1025;MOIR;AMN;4;13;P
1026;MOIR;AMN;1;13;E
1027;MOIR;AMN;3;13;E
1028;MOIR;AMN;4;13;E
1029;MOIR;AMN;1;14;P
1030;MOIR;AMN;2;14;P
1031;MOIR;AMN;3;14;P
1032;MOIR;AMN;2;14;E
1033;MOIR;AMN;3;14;E
1034;MOIR;AMN;4;14;E
1035;MOIR;AMN;1;15;P
1036;MOIR;AMN;2;15;P
1037;MOIR;AMN;3;15;P
1038;MOIR;AMN;1;15;E
1039;MOIR;AMN;2;15;E
1040;MOIR;AMN;4;15;E
1041;MOIR;AMN;2;16;P
1042;MOIR;AMN;3;16;P
1043;MOIR;AMN;4;16;P
1044;MOIR;AMN;1;16;E
1045;MOIR;AMN;2;16;E
1046;MOIR;AMN;4;16;E
1047;MOIR;AV;1;03;E
1048;MOIR;AV;2;03;E
1049;MOIR;AV;3;03;E
1050;MOIR;AV;4;03;E
1051;MOIR;AV;1;04;P
1052;MOIR;AV;2;04;P
1053;MOIR;AV;3;04;P
1054;MOIR;AV;4;04;P
1055;MOIR;AV;1;07;P
1056;MOIR;AV;2;07;P
1057;MOIR;AV;4;07;P
1058;MOIR;AV;2;07;E
1059;MOIR;AV;3;07;E
1060;MOIR;AV;4;07;E
1061;MOIR;AV;1;09;P
1062;MOIR;AV;2;09;P
1063;MOIR;AV;4;09;P
1064;MOIR;AV;1;09;E
1065;MOIR;AV;2;09;E
1066;MOIR;AV;3;09;E
1067;MOIR;AV;1;11;P
1068;MOIR;AV;2;11;P
1069;MOIR;AV;3;11;P
1070;MOIR;AV;2;11;E
1071;MOIR;AV;3;11;E
1072;MOIR;AV;4;11;E
1073;MOIR;AV;1;12;P
1074;MOIR;AV;2;12;P
1075;MOIR;AV;3;12;P
1076;MOIR;AV;1;12;E
1077;MOIR;AV;2;12;E
1078;MOIR;AV;3;12;E
1079;MOIR;AV;1;13;P
1080;MOIR;AV;2;13;P
1081;MOIR;AV;3;13;P
1082;MOIR;AV;1;13;E
1083;MOIR;AV;2;13;E
1084;MOIR;AV;3;13;E
1085;MOIR;AV;1;15;P
1086;MOIR;AV;3;15;P
1087;MOIR;AV;4;15;P
1088;MOIR;AV;1;15;E
1089;MOIR;AV;2;15;E
1090;MOIR;AV;3;15;E
1091;MOIR;AV;1;16;P
1092;MOIR;AV;2;16;P
1093;MOIR;AV;3;16;P
1094;MOIR;AV;1;16;E
1095;MOIR;AV;3;16;E
1096;MOIR;AV;4;16;E
1097;MOLO;AM;1;04;E
1098;MOLO;AM;2;04;E
1099;MOLO;AM;3;04;E
1100;MOLO;AM;4;04;E
1101;MOLO;AM;1;05;P
1102;MOLO;AM;2;05;P
1103;MOLO;AM;3;05;P
1104;MOLO;AM;4;05;P
1105;MOLO;AM;2;08;P
1106;MOLO;AM;3;08;P
1107;MOLO;AM;4;08;P
1108;MOLO;AM;1;08;E
1109;MOLO;AM;2;08;E
1110;MOLO;AM;3;08;E
1111;MOLO;AM;1;10;P
1112;MOLO;AM;2;10;P
1113;MOLO;AM;3;10;P
1114;MOLO;AM;1;10;E
1115;MOLO;AM;2;10;E
1116;MOLO;AM;3;10;E
1117;MOLO;AM;1;12;P
1118;MOLO;AM;2;12;P
1119;MOLO;AM;3;12;P
1120;MOLO;AM;1;12;E
1121;MOLO;AM;2;12;E
1122;MOLO;AM;4;12;E
1123;MOLO;AM;1;16;P
1124;MOLO;AM;2;16;P
1125;MOLO;AM;3;16;P
1126;MOLO;AM;1;16;E
1127;MOLO;AM;3;16;E
1128;MOLO;AM;4;16;E
1129;MOLO;AV;1;04;E
1130;MOLO;AV;2;04;E
1131;MOLO;AV;3;04;E
1132;MOLO;AV;4;04;E
1133;MOLO;AV;1;05;P
1134;MOLO;AV;2;05;P
1135;MOLO;AV;3;05;P
1136;MOLO;AV;4;05;P
1137;MOLO;AV;1;08;P
1138;MOLO;AV;2;08;P
1139;MOLO;AV;3;08;P
1140;MOLO;AV;1;08;E
1141;MOLO;AV;2;08;E
1142;MOLO;AV;3;08;E
1143;MOLO;AV;1;10;P
1144;MOLO;AV;2;10;P
1145;MOLO;AV;4;10;P
1146;MOLO;AV;2;10;E
1147;MOLO;AV;3;10;E
1148;MOLO;AV;4;10;E
1149;MOLO;AV;2;12;P
1150;MOLO;AV;3;12;P
1151;MOLO;AV;4;12;P
1152;MOLO;AV;1;12;E
1153;MOLO;AV;3;12;E
1154;MOLO;AV;4;12;E
1155;MOLO;AV;1;16;P
1156;MOLO;AV;3;16;P
1157;MOLO;AV;4;16;P
1158;MOLO;AV;1;16;E
1159;MOLO;AV;2;16;E
1160;MOLO;AV;3;16;E
1161;MORT;CE;1;03;P
1162;MORT;CE;2;03;P
1163;MORT;CE;3;03;P
1164;MORT;CE;1;03;E
1165;MORT;CE;2;03;E
1166;MORT;CE;3;03;E
1167;MORT;CE;1;08;P
1168;MORT;CE;2;08;P
1169;MORT;CE;4;08;P
1170;MORT;CE;1;08;E
1171;MORT;CE;2;08;E
1172;MORT;CE;3;08;E
1173;MORT;CE;1;10;P
1174;MORT;CE;3;10;P
1175;MORT;CE;4;10;P
1176;MORT;CE;1;10;E
1177;MORT;CE;3;10;E
1178;MORT;CE;4;10;E
1179;MORT;CE;2;12;P
1180;MORT;CE;3;12;P
1181;MORT;CE;4;12;P
1182;MORT;CE;1;12;E
1183;MORT;CE;2;12;E
1184;MORT;CE;3;12;E
1185;MORT;CE;1;14;P
1186;MORT;CE;2;14;P
1187;MORT;CE;3;14;P
1188;MORT;CE;1;14;E
1189;MORT;CE;2;14;E
1190;MORT;CE;3;14;E
1191;MORT;CE;1;16;P
1192;MORT;CE;2;16;P
1193;MORT;CE;3;16;P
1194;MORT;CE;1;16;E
1195;MORT;CE;3;16;E
1196;MORT;CE;4;16;E
1197;MORT;AV;1;02;A
1198;MORT;AV;2;02;A
1199;MORT;AV;3;02;A
1200;MORT;AV;1;03;P
1201;MORT;AV;2;03;P
1202;MORT;AV;3;03;P
1203;MORT;AV;1;03;E
1204;MORT;AV;2;03;E
1205;MORT;AV;3;03;E
1206;MORT;AV;1;08;P
1207;MORT;AV;2;08;P
1208;MORT;AV;3;08;P
1209;MORT;AV;1;08;E
1210;MORT;AV;2;08;E
1211;MORT;AV;4;08;E
1212;MORT;AV;2;10;P
1213;MORT;AV;3;10;P
1214;MORT;AV;4;10;P
1215;MORT;AV;1;10;E
1216;MORT;AV;2;10;E
1217;MORT;AV;4;10;E
1218;MORT;AV;1;12;P
1219;MORT;AV;2;12;P
1220;MORT;AV;3;12;P
1221;MORT;AV;1;12;E
1222;MORT;AV;2;12;E
1223;MORT;AV;4;12;E
1224;MORT;AV;1;14;P
1225;MORT;AV;2;14;P
1226;MORT;AV;4;14;P
1227;MORT;AV;1;14;E
1228;MORT;AV;2;14;E
1229;MORT;AV;4;14;E
1230;MORT;AV;2;16;P
1231;MORT;AV;3;16;P
1232;MORT;AV;4;16;P
1233;MORT;AV;1;16;E
1234;MORT;AV;2;16;E
1235;MORT;AV;4;16;E
1236;NAPP;AM;1;02;A
1237;NAPP;AM;2;02;A
1238;NAPP;AM;3;02;A
1239;NAPP;AM;1;03;P
1240;NAPP;AM;2;03;P
1241;NAPP;AM;4;03;P
1242;NAPP;AM;1;03;E
1243;NAPP;AM;2;03;E
1244;NAPP;AM;3;03;E
1245;NAPP;AM;1;04;A
1246;NAPP;AM;3;04;A
1247;NAPP;AM;4;04;A
1248;NAPP;AM;1;05;P
1249;NAPP;AM;2;05;P
1250;NAPP;AM;4;05;P
1251;NAPP;AM;1;05;E
1252;NAPP;AM;2;05;E
1253;NAPP;AM;4;05;E
1254;NAPP;AM;1;10;P
1255;NAPP;AM;2;10;P
1256;NAPP;AM;4;10;P
1257;NAPP;AM;1;10;E
1258;NAPP;AM;2;10;E
1259;NAPP;AM;4;10;E
1260;NAPP;AM;1;12;P
1261;NAPP;AM;2;12;P
1262;NAPP;AM;3;12;P
1263;NAPP;AM;2;12;E
1264;NAPP;AM;3;12;E
1265;NAPP;AM;4;12;E
1266;NAPP;AM;1;14;P
1267;NAPP;AM;2;14;P
1268;NAPP;AM;3;14;P
1269;NAPP;AM;1;14;E
1270;NAPP;AM;3;14;E
1271;NAPP;AM;4;14;E
1272;NAPP;AM;2;16;P
1273;NAPP;AM;3;16;P
1274;NAPP;AM;4;16;P
1275;NAPP;AM;1;16;E
1276;NAPP;AM;2;16;E
1277;NAPP;AM;4;16;E
1278;PLAI;AM;1;04;E
1279;PLAI;AM;2;04;E
1280;PLAI;AM;3;04;E
1281;PLAI;AM;4;04;E
1282;PLAI;AM;1;05;P
1283;PLAI;AM;2;05;P
1284;PLAI;AM;3;05;P
1285;PLAI;AM;4;05;P
1286;PLAI;AM;2;08;P
1287;PLAI;AM;3;08;P
1288;PLAI;AM;4;08;P
1289;PLAI;AM;1;08;E
1290;PLAI;AM;2;08;E
1291;PLAI;AM;4;08;E
1292;PLAI;AM;1;10;P
1293;PLAI;AM;3;10;P
1294;PLAI;AM;4;10;P
1295;PLAI;AM;2;10;E
1296;PLAI;AM;3;10;E
1297;PLAI;AM;4;10;E
1298;PLAI;AM;1;12;P
1299;PLAI;AM;2;12;P
1300;PLAI;AM;3;12;P
1301;PLAI;AM;1;12;E
1302;PLAI;AM;2;12;E
1303;PLAI;AM;4;12;E
1304;PLAI;AM;1;14;P
1305;PLAI;AM;2;14;P
1306;PLAI;AM;3;14;P
1307;PLAI;AM;1;14;E
1308;PLAI;AM;2;14;E
1309;PLAI;AM;4;14;E
1310;PLAI;AM;2;16;P
1311;PLAI;AM;3;16;P
1312;PLAI;AM;4;16;P
1313;PLAI;AM;1;16;E
1314;PLAI;AM;2;16;E
1315;PLAI;AM;3;16;E
1316;PLAI;AV;1;04;E
1317;PLAI;AV;3;04;E
1318;PLAI;AV;4;04;E
1319;PLAI;AV;1;05;P
1320;PLAI;AV;2;05;P
1321;PLAI;AV;3;05;P
1322;PLAI;AV;4;05;P
1323;PLAI;AV;1;08;P
1324;PLAI;AV;2;08;P
1325;PLAI;AV;4;08;P
1326;PLAI;AV;1;08;E
1327;PLAI;AV;2;08;E
1328;PLAI;AV;3;08;E
1329;PLAI;AV;2;10;P
1330;PLAI;AV;3;10;P
1331;PLAI;AV;4;10;P
1332;PLAI;AV;1;10;E
1333;PLAI;AV;2;10;E
1334;PLAI;AV;4;10;E
1335;PLAI;AV;1;12;P
1336;PLAI;AV;2;12;P
1337;PLAI;AV;4;12;P
1338;PLAI;AV;1;12;E
1339;PLAI;AV;2;12;E
1340;PLAI;AV;4;12;E
1341;PLAI;AV;1;14;P
1342;PLAI;AV;3;14;P
1343;PLAI;AV;4;14;P
1344;PLAI;AV;1;14;E
1345;PLAI;AV;2;14;E
1346;PLAI;AV;3;14;E
1347;PLAI;AV;1;16;P
1348;PLAI;AV;3;16;P
1349;PLAI;AV;4;16;P
1350;PLAI;AV;1;16;E
1351;PLAI;AV;3;16;E
1352;PLAI;AV;4;16;E
1353;PONT;AM;1;04;E
1354;PONT;AM;2;04;E
1355;PONT;AM;3;04;E
1356;PONT;AM;4;04;E
1357;PONT;AM;1;05;P
1358;PONT;AM;2;05;P
1359;PONT;AM;3;05;P
1360;PONT;AM;4;05;P
1361;PONT;AM;1;08;P
1362;PONT;AM;3;08;P
1363;PONT;AM;4;08;P
1364;PONT;AM;1;08;E
1365;PONT;AM;2;08;E
1366;PONT;AM;4;08;E
1367;PONT;AM;1;10;P
1368;PONT;AM;2;10;P
1369;PONT;AM;3;10;P
1370;PONT;AM;2;10;E
1371;PONT;AM;3;10;E
1372;PONT;AM;4;10;E
1373;PONT;AM;1;12;P
1374;PONT;AM;2;12;P
1375;PONT;AM;4;12;P
1376;PONT;AM;2;12;E
1377;PONT;AM;3;12;E
1378;PONT;AM;4;12;E
1379;PONT;AM;1;14;P
1380;PONT;AM;2;14;P
1381;PONT;AM;3;14;P
1382;PONT;AM;1;14;E
1383;PONT;AM;2;14;E
1384;PONT;AM;4;14;E
1385;PONT;AM;2;16;P
1386;PONT;AM;3;16;P
1387;PONT;AM;4;16;P
1388;PONT;AM;1;16;E
1389;PONT;AM;3;16;E
1390;PONT;AM;4;16;E
1391;PONT;AV;1;04;E
1392;PONT;AV;2;04;E
1393;PONT;AV;3;04;E
1394;PONT;AV;4;04;E
1395;PONT;AV;1;05;P
1396;PONT;AV;2;05;P
1397;PONT;AV;3;05;P
1398;PONT;AV;4;05;P
1399;PONT;AV;1;08;P
1400;PONT;AV;2;08;P
1401;PONT;AV;3;08;P
1402;PONT;AV;2;08;E
1403;PONT;AV;3;08;E
1404;PONT;AV;4;08;E
1405;PONT;AV;1;10;P
1406;PONT;AV;3;10;P
1407;PONT;AV;4;10;P
1408;PONT;AV;1;10;E
1409;PONT;AV;3;10;E
1410;PONT;AV;4;10;E
1411;PONT;AV;2;12;P
1412;PONT;AV;3;12;P
1413;PONT;AV;4;12;P
1414;PONT;AV;1;12;E
1415;PONT;AV;3;12;E
1416;PONT;AV;4;12;E
1417;PONT;AV;1;14;P
1418;PONT;AV;3;14;P
1419;PONT;AV;4;14;P
1420;PONT;AV;2;14;E
1421;PONT;AV;3;14;E
1422;PONT;AV;4;14;E
1423;PONT;AV;1;16;P
1424;PONT;AV;2;16;P
1425;PONT;AV;4;16;P
1426;PONT;AV;1;16;E
1427;PONT;AV;2;16;E
1428;PONT;AV;4;16;E
1429;ROSS;AM;2;02;A
1430;ROSS;AM;3;02;A
1431;ROSS;AM;4;02;A
1432;ROSS;AM;1;03;P
1433;ROSS;AM;3;03;P
1434;ROSS;AM;4;03;P
1435;ROSS;AM;1;03;E
1436;ROSS;AM;3;03;E
1437;ROSS;AM;4;03;E
1438;ROSS;AM;1;08;P
1439;ROSS;AM;2;08;P
1440;ROSS;AM;3;08;P
1441;ROSS;AM;1;08;E
1442;ROSS;AM;2;08;E
1443;ROSS;AM;4;08;E
1444;ROSS;AM;1;10;P
1445;ROSS;AM;2;10;P
1446;ROSS;AM;4;10;P
1447;ROSS;AM;2;10;E
1448;ROSS;AM;3;10;E
1449;ROSS;AM;4;10;E
1450;ROSS;AM;1;12;P
1451;ROSS;AM;2;12;P
1452;ROSS;AM;4;12;P
1453;ROSS;AM;2;12;E
1454;ROSS;AM;3;12;E
1455;ROSS;AM;4;12;E
1456;ROSS;AM;2;14;P
1457;ROSS;AM;3;14;P
1458;ROSS;AM;4;14;P
1459;ROSS;AM;1;14;E
1460;ROSS;AM;2;14;E
1461;ROSS;AM;3;14;E
1462;ROSS;AM;1;16;P
1463;ROSS;AM;3;16;P
1464;ROSS;AM;4;16;P
1465;ROSS;AM;1;16;E
1466;ROSS;AM;2;16;E
1467;ROSS;AM;3;16;E
1468;ROSS;AV;1;02;A
1469;ROSS;AV;2;02;A
1470;ROSS;AV;4;02;A
1471;ROSS;AV;1;03;P
1472;ROSS;AV;3;03;P
1473;ROSS;AV;4;03;P
1474;ROSS;AV;1;03;E
1475;ROSS;AV;2;03;E
1476;ROSS;AV;3;03;E
1477;ROSS;AV;1;08;P
1478;ROSS;AV;3;08;P
1479;ROSS;AV;4;08;P
1480;ROSS;AV;1;08;E
1481;ROSS;AV;3;08;E
1482;ROSS;AV;4;08;E
1483;ROSS;AV;1;10;P
1484;ROSS;AV;3;10;P
1485;ROSS;AV;4;10;P
1486;ROSS;AV;1;10;E
1487;ROSS;AV;3;10;E
1488;ROSS;AV;4;10;E
1489;ROSS;AV;1;12;P
1490;ROSS;AV;2;12;P
1491;ROSS;AV;3;12;P
1492;ROSS;AV;1;12;E
1493;ROSS;AV;2;12;E
1494;ROSS;AV;3;12;E
1495;ROSS;AV;2;14;P
1496;ROSS;AV;3;14;P
1497;ROSS;AV;4;14;P
1498;ROSS;AV;1;14;E
1499;ROSS;AV;2;14;E
1500;ROSS;AV;3;14;E
1501;ROSS;AV;1;16;P
1502;ROSS;AV;2;16;P
1503;ROSS;AV;4;16;P
1504;ROSS;AV;2;16;E
1505;ROSS;AV;3;16;E
1506;ROSS;AV;4;16;E
1507;TONK;AM;1;06;P
1508;TONK;AM;2;06;P
1509;TONK;AM;3;06;P
1510;TONK;AM;1;06;E
1511;TONK;AM;2;06;E
1512;TONK;AM;3;06;E
1513;TONK;AM;4;06;E
1514;TONK;AM;1;08;P
1515;TONK;AM;3;08;P
1516;TONK;AM;4;08;P
1517;TONK;AM;1;08;E
1518;TONK;AM;2;08;E
1519;TONK;AM;3;08;E
1520;TONK;AM;1;10;P
1521;TONK;AM;2;10;P
1522;TONK;AM;4;10;P
1523;TONK;AM;1;10;E
1524;TONK;AM;2;10;E
1525;TONK;AM;3;10;E
1526;TONK;AM;1;12;P
1527;TONK;AM;2;12;P
1528;TONK;AM;4;12;P
1529;TONK;AM;1;12;E
1530;TONK;AM;2;12;E
1531;TONK;AM;3;12;E
1532;TONK;AM;1;16;P
1533;TONK;AM;3;16;P
1534;TONK;AM;4;16;P
1535;TONK;AM;2;16;E
1536;TONK;AM;3;16;E
1537;TONK;AM;4;16;E
1538;TONK;AV;1;06;P
1539;TONK;AV;2;06;P
1540;TONK;AV;3;06;P
1541;TONK;AV;4;06;P
1542;TONK;AV;1;06;E
1543;TONK;AV;2;06;E
1544;TONK;AV;3;06;E
1545;TONK;AV;4;06;E
1546;TONK;AV;1;08;P
1547;TONK;AV;2;08;P
1548;TONK;AV;4;08;P
1549;TONK;AV;2;08;E
1550;TONK;AV;3;08;E
1551;TONK;AV;4;08;E
1552;TONK;AV;2;10;P
1553;TONK;AV;3;10;P
1554;TONK;AV;4;10;P
1555;TONK;AV;1;10;E
1556;TONK;AV;2;10;E
1557;TONK;AV;4;10;E
1558;TONK;AV;1;12;P
1559;TONK;AV;2;12;P
1560;TONK;AV;3;12;P
1561;TONK;AV;1;12;E
1562;TONK;AV;3;12;E
1563;TONK;AV;4;12;E
1564;TONK;AV;1;16;P
1565;TONK;AV;2;16;P
1566;TONK;AV;3;16;P
1567;TONK;AV;2;16;E
1568;TONK;AV;3;16;E
1569;TONK;AV;4;16;E
1570;VACH;AM;1;03;E
1571;VACH;AM;2;03;E
1572;VACH;AM;3;03;E
1573;VACH;AM;4;03;E
1574;VACH;AM;1;04;P
1575;VACH;AM;2;04;P
1576;VACH;AM;3;04;P
1577;VACH;AM;4;04;P
1578;VACH;AM;2;08;P
1579;VACH;AM;3;08;P
1580;VACH;AM;4;08;P
1581;VACH;AM;1;08;E
1582;VACH;AM;3;08;E
1583;VACH;AM;4;08;E
1584;VACH;AM;1;10;P
1585;VACH;AM;2;10;P
1586;VACH;AM;3;10;P
1587;VACH;AM;1;11;P
1588;VACH;AM;3;11;P
1589;VACH;AM;4;11;P
1590;VACH;AM;1;11;E
1591;VACH;AM;2;11;E
1592;VACH;AM;3;11;E
1593;VACH;AM;2;12;P
1594;VACH;AM;3;12;P
1595;VACH;AM;4;12;P
1596;VACH;AM;1;13;P
1597;VACH;AM;3;13;P
1598;VACH;AM;4;13;P
1599;VACH;AM;1;16;P
1600;VACH;AM;2;16;P
1601;VACH;AM;3;16;P
1602;VACH;AM;1;16;E
1603;VACH;AM;2;16;E
1604;VACH;AM;3;16;E
1605;VACH;AV;1;03;E
1606;VACH;AV;2;03;E
1607;VACH;AV;3;03;E
1608;VACH;AV;4;03;E
1609;VACH;AV;1;04;P
1610;VACH;AV;2;04;P
1611;VACH;AV;3;04;P
1612;VACH;AV;4;04;P
1613;VACH;AV;1;08;P
1614;VACH;AV;3;08;P
1615;VACH;AV;4;08;P
1616;VACH;AV;1;08;E
1617;VACH;AV;2;08;E
1618;VACH;AV;3;08;E
1619;VACH;AV;1;11;P
1620;VACH;AV;2;11;P
1621;VACH;AV;3;11;P
1622;VACH;AV;1;11;E
1623;VACH;AV;2;11;E
1624;VACH;AV;4;11;E
1625;VACH;AV;1;12;P
1626;VACH;AV;2;12;P
1627;VACH;AV;3;12;P
1628;VACH;AV;2;13;P
1629;VACH;AV;3;13;P
1630;VACH;AV;4;13;P
1631;VACH;AV;2;16;P
1632;VACH;AV;3;16;P
1633;VACH;AV;4;16;P
1634;VACH;AV;1;16;E
1635;VACH;AV;3;16;E
1636;VACH;AV;4;16;E
1637;VILO;AM;4;04;A
1638;VILO;AM;1;05;P
1639;VILO;AM;2;05;P
1640;VILO;AM;3;05;P
1641;VILO;AM;1;05;E
1642;VILO;AM;2;05;E
1643;VILO;AM;3;05;E
1644;VILO;AM;1;08;P
1645;VILO;AM;2;08;P
1646;VILO;AM;3;08;P
1647;VILO;AM;1;08;E
1648;VILO;AM;3;08;E
1649;VILO;AM;4;08;E
1650;VILO;AM;1;14;P
1651;VILO;AM;2;14;P
1652;VILO;AM;3;14;P
1653;VILO;AM;1;14;E
1654;VILO;AM;3;14;E
1655;VILO;AM;4;14;E
1656;VILO;AM;1;16;P
1657;VILO;AM;2;16;P
1658;VILO;AM;4;16;P
1659;VILO;AM;2;16;E
1660;VILO;AM;3;16;E
1661;VILO;AM;4;16;E
1662;VILO;AV;2;04;A
1663;VILO;AV;1;05;P
1664;VILO;AV;2;05;P
1665;VILO;AV;4;05;P
1666;VILO;AV;1;05;E
1667;VILO;AV;2;05;E
1668;VILO;AV;3;05;E
1669;VILO;AV;1;08;P
1670;VILO;AV;2;08;P
1671;VILO;AV;3;08;P
1672;VILO;AV;1;08;E
1673;VILO;AV;3;08;E
1674;VILO;AV;4;08;E
1675;VILO;AV;1;10;P
1676;VILO;AV;3;10;P
1677;VILO;AV;4;10;P
1678;VILO;AV;1;10;E
1679;VILO;AV;3;10;E
1680;VILO;AV;4;10;E
1681;VILO;AV;2;12;P
1682;VILO;AV;3;12;P
1683;VILO;AV;4;12;P
1684;VILO;AV;2;12;E
1685;VILO;AV;3;12;E
1686;VILO;AV;4;12;E
1687;VILO;AV;1;14;P
1688;VILO;AV;3;14;P
1689;VILO;AV;4;14;P
1690;VILO;AV;1;14;E
1691;VILO;AV;3;14;E
1692;VILO;AV;4;14;E
1693;VILO;AV;1;16;P
1694;VILO;AV;3;16;P
1695;VILO;AV;4;16;P
1696;VILO;AV;1;16;E
1697;VILO;AV;2;16;E
1698;VILO;AV;3;16;E
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
