"","Temperature","Treatment","Prey_start_density","Prey_end_density","Predator_start_density","Predator_end_density","Incubation_time"
"103",20,"predator",50,59.3104373333333,5,5,1.029803
"104",20,"predator",50,58.2575893333333,5,5,1.029803
"105",20,"predator",100,39.8861546666667,5,5,1.029803
"106",20,"predator",100,118.391994666667,5,5,1.029803
"107",20,"predator",250,395.138432,5,5,1.029803
"108",20,"predator",500,1172.35387733333,5,5,1.029803
"109",20,"predator",500,1073.90496,5,5,1.029803
"110",20,"predator",500,1113.089216,5,5,1.029803
"111",20,"predator",750,1598.61998933333,5,5,1.029803
"112",20,"predator",750,1556.71969066667,5,5,1.029803
"113",20,"predator",1000,1476.61169066667,5,5,1.029803
"114",20,"predator",1000,1540.225072,5,5,1.029803
"115",20,"predator",2890,2665.53648,5,5,1.029803
"116",20,"predator",100,161.162037333333,5,6,1.029803
"117",20,"predator",250,433.758117333333,5,6,1.029803
"118",20,"predator",500,1475.75720533333,5,6,1.029803
"119",20,"predator",500,1046.21048,5,6,1.029803
"120",20,"predator",750,1177.81648,5,6,1.029803
"121",20,"predator",750,1147.95526933333,5,6,1.029803
"122",20,"predator",1000,1453.51006933333,5,6,1.029803
"123",20,"predator",2890,2539.85084266667,5,6,1.029803
"124",20,"predator",100,158.507029333333,5,7,1.029803
"125",20,"predator",100,93.337264,5,7,1.029803
"126",20,"predator",100,75.0573813333333,5,7,1.029803
"127",20,"predator",250,463.283637333333,5,7,1.029803
"128",20,"predator",250,440.639776,5,7,1.029803
"129",20,"predator",500,1217.18384,5,7,1.029803
"130",20,"predator",750,1377.62872,5,7,1.029803
"131",20,"predator",750,1407.45941333333,5,7,1.029803
"132",20,"predator",1000,1966.720064,5,7,1.029803
"133",20,"predator",1000,1957.107104,5,7,1.029803
"134",20,"predator",1500,1807.26699733333,5,7,1.029803
"135",20,"predator",1500,1783.43296,5,7,1.029803
"136",20,"predator",1500,1500.55253866667,5,7,1.029803
"137",20,"predator",2890,2552.17984533333,5,7,1.029803
"138",20,"predator",1000,1279.164544,5,8,1.029803
"139",20,"predator",1500,2036.36061866667,5,8,1.029803
"140",20,"predator",1500,2059.58430933333,5,8,1.029803
"141",20,"predator",1500,1879.059024,5,8,1.029803
"142",20,"predator",2890,2532.236768,5,8,1.029803
"143",20,"predator",2890,2586.09986133333,5,8,1.029803
"144",20,"predator",2890,2066.832176,5,12,1.029803
"145",25,"control",50,279.782912,0,0,1.023775
"146",25,"control",50,212.125984,0,0,1.023775
"147",25,"control",50,122.160885333333,0,0,1.023775
"148",25,"control",100,373.318538666667,0,0,1.023775
"149",25,"control",100,396.984730666667,0,0,1.023775
"150",25,"control",100,384.472624,0,0,1.023775
"151",25,"control",250,850.228165333333,0,0,1.023775
"152",25,"control",250,625.956282666667,0,0,1.023775
"153",25,"control",250,563.899285333333,0,0,1.023775
"154",25,"control",500,1547.30509333333,0,0,1.023775
"155",25,"control",500,1308.598512,0,0,1.023775
"156",25,"control",500,1125.75390933333,0,0,1.023775
"157",25,"control",750,2061.12543466667,0,0,1.023775
"158",25,"control",750,1781.02209066667,0,0,1.023775
"159",25,"control",750,1190.96945066667,0,0,1.023775
"160",25,"control",1000,2505.67142933333,0,0,1.023775
"161",25,"control",1000,1876.92281066667,0,0,1.023775
"162",25,"control",1000,2010.03941866667,0,0,1.023775
"163",25,"control",2000,2825.67618666667,0,0,1.023775
"164",25,"control",2000,2995.47462933333,0,0,1.023775
"165",25,"control",2000,2513.16343466667,0,0,1.023775
"166",25,"control",4177,4529.74882133333,0,0,1.023775
"167",25,"control",4177,5081.914192,0,0,1.023775
"168",25,"control",4177,5306.36917866667,0,0,1.023775
"169",25,"predator",250,808.053210666667,5,4,1.023775
"170",25,"predator",500,895.164938666667,5,4,1.023775
"171",25,"predator",4177,4893.10345066667,5,4,1.023775
"172",25,"predator",50,9.49818828985507,5,5,1.023775
"173",25,"predator",100,13.5802133333333,5,5,1.023775
"174",25,"predator",100,110.625333333333,5,5,1.023775
"175",25,"predator",50,107.375237333333,5,6,1.023775
"176",25,"predator",50,10.4979626666667,5,6,1.023775
"177",25,"predator",100,119.383808,5,6,1.023775
